"","job_title","job_description","job_salary","city","state","company_name","company_industry","company_sector","company_rating","bachelors","masters","phd"
"1","Data Scientist","Polypore International, an Asahi Kasei Group Company, is a leading technology company specializing in microporous membranes. We bring advanced technology, unique problem solving capabilities and global manufacturing expertise to lithium-ion (made by Celgard) and lead-acid (made by Daramic) battery applications and systems development teams. Position Summary: Polypore is seeking a Data Scientist who will analyze, visualize, and build models using Polypore data received from various systems. In this role, you will build and implement machine learning models to make timely decisions. We are looking for a mixture between a statistician, data scientist, machine learning expert and data engineer. The Data Scientist works with business leaders, sales and finance to understand needs in analytics and forecasting. The person in this role understands manufacturing process, develops models that predict product performance, and helps manufacturing to make decisions about improving product manufacturing process. The Data Scientist is responsible for the presentation of model results and the explanation of the model for business. Responsibilities: Participate in the understanding and analysis of data; create business intelligence analysis presentations intended for end users Understand enterprise data available Implement data featuring, extension of existing data Work with business on defining possible hypothesis, areas of interest, model ideas Conduct data discovery, data presentation, data cleansing Implement data collection and join logic, building dataset for analysis Present data information to business, assist with data explanation and trend identification Define clear mathematical/statistical data visualization approach Develop models, validate model performance and stability Build explanatory presentation of models; prepare documentation, demos, and presentations Provide technical expertise on data science approaches, be informed in latest evolvements in DS area Work closely with Data team members, offering solutions, data processing algorithm definitions Travel to company sites worldwide, USA/Europe/Asia, may be required Provide on-going maintenance and support for existing solutions Provides advanced technical support of solutions provided. Participate in the on-call rotation for the IT group. Requirements: 5+ years of relevant data science, data engineering, data modelling experience Bachelor's degree required Knowledge of SQL, Python, PySpark/Scala, Jupyter notebooks required Experience in Supervised model development, Regression, Classification, Principal Component Analysis, Support Vector Machine, etc. Experience with Machine Learning. Deep Neutral Network, Image classification Data Science experience with large data volume Experience with data discovery, visualization, cleansing, featuring Solid experience with data science environment and python language Experience with production model deployment, Continuous Integration/ Continuous Deployment (CI/CD) Excellent Excel, PowerPivot, PowerView experience Distributed computing, Spark PowerBI reporting knowledge ERP knowledge Manufacturing experience is a plus Proactive attitude, ability to think out of the box, come up with ideas for data analysis Ability to present solution on various levels from technician to C-level suite Strong analytical, problem-solving, and conceptual skills Strong capacity to learn business and manufacturing processes, willing to learn Ability to communication to non-technical people Excellent pattern recognition and predictive modeling skills Ability to work in teams with experts of the different software we have; team player Ability to estimate tasks, to define and to respect deadlines; ability to work under pressure","$71,310 - $122,975","Charlotte","NC","Polypore International","Electrical & Electronic Manufacturing","Manufacturing",4.2,1,0,0
"2","Data Scientist","Key Responsibilities: Beacon is seeking a Data Scientist to join the organization and serve as a key player in building a clear understanding of the potential benefits that connected data and analytics can bring in supporting the vision and goals of the organization. Gains insight into key business problems by applying statistical analysis techniques to examine structured and unstructured data from multiple disparate sources. Uses current and emerging technologies to evaluate trends and develop actionable insights and recommendations to management, via an increasing understanding of the business model and the information available for analysis. Role will report directly to the SVP of PMO Operations.Apply end-to-end expertise from data, analytics and insight delivery to stakeholder engagement and support of benefit realization.Manipulate large data sets and use them to identify trends and reach meaningful conclusions to inform strategic business decisions.Partner with leaders in all areas of the business to obtain data/KPI's and pull data from multiple sources, clean data, and prepare data for analysis.Design data modeling processes to create algorithms and predictive models and perform custom analysis in support of creating a culture of safety.Connect with stakeholders to gain a full understanding of the problems they're looking to solve and build models to address those areas.Build tools to automate data collection and provide business leaders KPI and dashboards to make key business decisions related to safety.Apply data science approaches to understand and predict behaviors and outcomes.Use machine learning techniques, visualizations, & statistical analysis to gain insight into various data sets - some readily available, and some you create and curate yourself.Mentor and lead team members on best practices and action-oriented analyses.Develop compelling stories that provide insight into the drivers of business performance.Evangelize evidence-based decision making by partnering with key decision makers and driving accessibility of data and insights.Education, Experience and Skills: Bachelor's degree or equivalent experience in a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.). Graduate degree a plus3- 5 years of demonstrated experience in a quantitative analytics or data modeling role delivering modeling solutions in a business contextStrong skills in coding, data management, data analysis and data visualizationProven experience with Python, R, SQL, and a data visualization program like Tableau or PowerBISolid foundation and understanding of relational database principlesLean six sigma green certification or above preferredAn understanding of targeted marketing strategies leveraging data science modeling techniquesCompetencies and Behaviors: Solid oral and written communication skills, especially around analytical concepts, and methodsStrong Statistical, analytical, and problem-solving skillsStrong administrative skills, ability to prioritize, delegate, and meet deadlinesAbility to effectively manage time, resolve crises and make decisionsSelf-starter and able to work in a non-structured organizationStrong presentation skills with demonstrated ability to influence at all levels of management through clear, informed, and logical discussions/presentationsAbility to solve problems and deal with a variety of concrete variables in situations where only limited standardization existsDefine problems, collect data, establish facts, and draw valid conclusions. Evaluate trends in data or informationExperience working with remote teamsAbility to travel approximately 25%Beacon Mobility and our family of companies believe that each of our employees makes a significant contribution to the success of the organization and our clients. This position description is designed to outline primary duties, qualifications, and job scope, but an employee's contribution should not be limited by the assigned responsibilities. It is our expectation that each employee will help whenever necessary to ensure the success of the organization's endeavors.Beacon Mobility is a trusted partner that provides comprehensive mobility solutions for people of all ages and abilities. Experienced, compassionate, and inspired, we take pride in our ability to create customized, mobility-based solutions that empower people to get where they need to go. We provide those we serve with the opportunities, resources, and support to confidently move ahead. Backed by 30 years of experience, Beacon Mobility is a growing family of companies that share a mission of putting people first. Communities, school districts, special education programs, and regional transit authorities count on our companies to get people where they need to go safely and on time. In 2018, Beacon Mobility was acquired by Audax Group, a leading alternative investment manager founded in 1999 with offices in Boston, New York, and San Francisco. The original acquired companies that make up Beacon Mobility operate in Massachusetts and the company is looking for continued high growth via an aggressive acquisition strategy. This growth will increase our operational footprint into the other areas of the Northeast and Midwest regions of the United States. We are currently building a strategic, people focused, leadership team that has experience supporting rapid growth and changes. View more at https://gobeacon.com.Job Type: Full-timeBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:Monday to FridayWork Location: Multiple Locations","Not Provided","Not Provided","MA","Van Pool Transportation","Transportation Management","Transportation & Logistics",3.7,1,1,0
"3","Data Scientist","The Challenge: Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors - from fraud detection, to cancer research, to national intelligence - you know the answers are in the data. We have an opportunity for you to use your analytical skills to improve Air Force mission solutions. You'll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. You'll develop data collection tools, data visualizations and dashboard, algorithms/scripts to process data or conduct predictive analytics leveraging machine learning or other approaches. and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help Air Force leaders make informed decisions. You'll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in aerospace mission solutions. Empower change with us. You Have: 2+ years of experience with scripting and scientific languages, including Python, R, C++, or Java 2+years of experience with tools to manage data and databases including Microsoft Excel, Access, SharePoint, or SQL 2+ years of experience with data collection, data processing, data visualization, data analytics, and data science approaches and tools. Knowledge of statistical measures, including confidence intervals and the significance of error measurements, mathematical modeling techniques, optimization approaches, or machine learning algorithm development Ability to obtain a security clearance BA or BS degree Nice If You Have: 2+ years of experience with applying machine learning techniques and the key parameters that affect their performance 2+ years of experience with Big Data programming technologies, including Hadoop, Spark, R, or Hive 2+ years of experience in working with a wide range of predictive and decision models and tools for developing models Experience with using statistical software applications, including SAS, R, MATLAB, SPSS, or Stata Experience with developing statistical and simulation models Experience in natural language processing topics, including tagging, syntactic parsing, word sense disambiguation, topic modeling; contextual text mining, and application of deep learning to NLP Experience with developing experimental and analytic plans for data modeling processes, using strong baselines, and determining cause and effect relationships accurately Secret clearance MA or MS degree Clearance: Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information. Build Your Career: At Booz Allen, we know the power of analytics and we're dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you'll have the chance to: access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk change the world with the Data Science Bowl-the world's premier data science for social good competition participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government You'll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We'll help you develop the career you want as you chart your own course for success. We're an EOE that empowers our people-no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic-to fearlessly drive change.","$69,795 - $111,477","Norfolk","VA","Booz Allen Hamilton","Consulting","c(""Business Services"", NA)",4.2,1,1,0
"4","Senior Data Scientist","Position Summary As a Senior Data Scientist, you develop the next generation of Supply Chain & Logistics Analytics for Penske. You will be key in establishing Penske's advanced and predictive analytics capabilities, primarily at an enterprise level. As a Senior Data Scientist you will also work on 3 - 5 projects concurrently. The projects at this level are large and complex, often with organization-wide impact. Provides analysis and develops approach and scope on each project. Such efforts require cross-functional involvement with customers, vendors, and suppliers. Major Responsibilities: Identify opportunities for savings and process improvement:Collaborate with various stakeholders to identify business problemsConduct ROI analysis to determine project feasibilityHelp build business case for significant enterprise-wide analytics initiatives Data evaluation and analysis:Identify appropriate data sources to answer business questionExtract, blend, cleanse, and organize dataAutomate ETL processesVisualize dataIdentify (and ameliorate) outliers and missing or incomplete records in the data Model building and implementation:Identify appropriate techniques and algorithms for building modelCreate and test model Build application and embed model Communication:Engage in best practices discussions with other team members regarding modeling activitiesDiscuss project activities and results with teamParticipate in discussions about company's big data vision Exploring new technologies:Understand business trends in the logistics industryEvaluate new technologies and determine if and how they can be applied Qualifications:5+ years of experience along with a master's degree in Engineering, Operations Research, Statistics, Applied Math, Computer Science, or related quantitative field required.3+ years of experience along with a PhD in Engineering, Operations Research, Statistics, Applied Math, Computer Science, or related quantitative field preferred.3 years of Experience designing and building machine learning applications using both structured and unstructured datasets is required.Practical experience programming using Python, R or other high level scripting languages is required.Demonstrated experience with one or more machine learning techniques including logistic regression, decision trees, random forests and clustering is required.Knowledge and experience with SQL are preferred. Physical Requirements:The physical and mental demands described here are representative of those that must be met by an associate to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.The associate will be required to: read; communicate verbally and/or in written form; remember and analyze certain information; and remember and understand certain instructions or guidelines.While performing the duties of this job, the associate may be required to stand, walk, and sit. The associate is frequently required to use hands to touch, handle, and feel, and to reach with hands and arms. The associate must be able to occasionally lift and/or move up to 25lbs/12kg.Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and the ability to adjust focus. Penske is an Equal Opportunity Employer. About Penske Logistics Penske Logistics is a wholly owned subsidiary of Penske Truck Leasing. With operations in North America, South America, Europe and Asia, Penske Logistics provides supply chain management and logistics services to leading companies around the world. Penske Logistics delivers value through its design, planning and execution in transportation, warehousing and freight management. Visit www.PenskeLogistics.com to learn more.","$75,217 - $121,211","Beachwood","OH","Penske","c(""Transportation Management"", NA)","Transportation & Logistics",3.6,0,1,1
"5","Data Scientist","The kind of person we're looking for: We're looking for an energetic, thoughtful, intelligent, creative thinker to join the Data Insights team. You'll need to have a passion for big data and analytics, and for solving difficult problems. You'll need to be excited about trying new things and looking for ways to create new intellectual property that can help Paytronix and our clients. And you'll need to be a team player that is willing to be flexible to changing priorities, that is motivated by the opportunity to be part of building a business. The kind of stuff you'll be doing: Research, develop and deploy your own advanced machine learning models (classification, forecasting, regression, decision tress, naive bayes) and algorithms for new product features that maximize member engagement Using leading-edge tools to mine and analyze member and transactional data to determine the impact of loyalty programs and marketing campaigns on member behavior Integrate your solutions into our platform to run at scale and directly impact the experience of the members Drive measurable business value and communicate the results to technical and non-technical stakeholders Creating actionable customer segments/clusters for reporting and targeting purposes Work with a team of friendly and motivated analysts working together to build innovative solutions to complex business challenges The kind of skills and experience you'll need: Track record of excellent analytical and problem-solving skills Strong analytical skills to effectively apply statistical methodologies in solving business challenges A good understanding of statistics, including regression and predictive modeling Excellent communication skills to make recommendations and analysis to business users, both verbally and written Bachelor of Science with a major in Statistics, Decision Sciences, Applied Mathematics degree or similar quantitative field of study 3-5 years of profession experience in applying advanced models and data driven analysis in a production environment Proficient in scientific Python (NumPy, SciPy, scikit-learn, Pandas, XGBoost), SQL and GitHub The extra stuff that would be nice: Restaurant or Retail analytics experience Experience with loyalty programs For information on our benefits, see here.","$74,839 - $112,212","Newton","MA","Paytronix Systems","Computer Hardware & Software","Information Technology",3.3,1,0,0
"6","Data Scientist","The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans. What you'll do: Research and develop statistical learning models for data analysis Develop insights and deliver recommendations based on data analyses Work with business leaders to articulate business requirements for data analyses Implement new statistical or other mathematical methodologies for specific models or analyses Optimize joint development efforts through database use and project design Create automated reports and dashboard products, in order to display results to internal teams Develop end-customer segmentation schemes by analyzing customer behavior Perform ad hoc analyses and deliver recommendations Develop and implement predictive models like decision tree, regression using R or similar Communicate results and ideas to key decision makers Required Skills/Abilities: Master's Degree in Computer Science, Statistics, Applied Math or related field Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics Experience in data mining and statistical analysis Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills Experience with programming languages such as Java / Python (or ""R"") Experience conducting regression analyses Understanding of relational databases and data management as well as experience with data aggregation and normalization Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.) Ability to approach tasks strategically, while owning and mastering the details Exceptional problem solving, as well as analytical and strategic thinking skills Initiative to own projects from start to finish Strong oral and written communication skills, with ability to work well with people across the company at all levels Preferred Skills/Abilities: Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics Experience conducting analyses and building predictive models using SAS (or similar) Experience with business intelligence and data visualization tools preferred (like Domo or Tableau) Physical Requirements: Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting) Due to the unprecedented situation of COVID-19, HPOne has decided to protect our current and future employees by managing our business remotely. This is inclusive of interviewing, training, and day-to-day operations. We will be returning to an office setting once we are safe to do so following the guidance of local health authorities' and the CDC. Currently all employees are working remotely. Our centers are consistent with CDC guidelines and align with local government orders pertaining to all Company physical locations in relation to COVID-19. Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices. If you need assistance or an accommodation due to a disability, please contact us to request accommodation at accommodations@hpone.com","$80,867 - $133,796","Trumbull","CT","HPOne","Insurance Carriers","Insurance",3.5,0,1,0
"7","Senior Data Scientist","RunBuggy is looking to ad aSenior Data ScientistRunBuggy is the largest open car transportation marketplace connecting thousands of shippers and haulers in real-time. We make shipping cars easy. We do this by leveraging technology and data driven solutions that allow efficiencies unique to automotive transportation. We are therefore seeking a qualified individual to join our team as a Senior Data Scientist. The senior data scientist will work with the current data science team that collaborates across the organization in the areas of marketing, finance, operations, and product. The expectation will be for you to develop models and algorithms that will deployed to a cutting-edge enterprise software product. You will work with department heads on key business problems and be expected to work on multiple problems at once.The ideal candidate will have a minimum of 5 years of experience working on data science and analytics problems. Also, the ideal candidate will possess excellent written and communication skills and be able to thrive in a fast-paced startup environment.In addition to competitive pay, we offer our employees: Health, Dental, Vision, Life, 401K, Health & Wellness Program, community involvement and company paid vacation and holidays.Key Responsibilities Develop predictive algorithms and models from scratch using available libraries and software development tools Use state of the art software tools in a distributed cloud computing environment Build data ingestion pipelines and transform data into metrics useful for analytics and modeling Ability to perform spatial analysis and transportation network analysis using GIS datasets Use statistics to identify data trends and present the results to impact the product and business Communicate analysis and results to a broad audience with varying levels of expertise Performance analysis of existing tools and models to help drive business outcomes Troubleshoot, debug and upgrade existing data science software Create Tableau visualizations to present key data to executives and large customer accounts Write technical documentationSkills/Qualifications Ph.D. in quantitative field and 5+ years experience Excellent communication skills Be a team player in a kind and inclusive working environment - you learn from your teammate's strength and are likewise excited to share your knowledge and help where needed. Expert in developing machine learning models for production Deep understanding of statistics Able to visualize data and results in a way to communicate clearly with a general audience Experience working with microservices, REST API's, ETL processes, etc. Expert in Jupyter, Python, Spark, Airflow, Tableau Relational and Nonrelational databases AWS toolsPreferred Experience with Docker and Kubernetes Deep learning experience Working experience with geospatial data analysis Automotive/transportation industry experienceRunBuggy is an equal opportunity employer and we welcome applicants from all backgroundsJob Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceEmployee discountHealth insuranceLife insuranceRetirement planVision insuranceEducation:Master's (Preferred)Experience:Ph.D. in quantitative field: 1 year (Required)Expert in Jupyter, Python, Spark, Airflow, Tableau: 1 year (Required)Senior Data Scientist: 5 years (Required)Work Location:One locationWork Remotely:NoWork Location: One location","Not Provided","Phoenix","AZ","RunBuggy",NA,NA,0,0,1,1
"8","Data Scientist","We are adding a Data Scientist to our growing team! ABOUT AMERICAN CAPITAL GROUP American Capital Group is a fully-integrated real estate development company. Over the last 33 years, our company has developed and built more than 80 multifamily properties across twelve states. We remain an industry leader because we know and manage internally Engineering and Design, Acquisition, Development, Construction, Property Management, and Asset Management. We strongly value teamwork, integrity, transparency and producing the highest quality of product for our investors and customers. SUMMARY: As Data Scientist at American Capital Group (ACG), your role is to be a pioneer and ""discover,"" collect, process and analyze data with the end goal of making conclusions and recommendations that drastically improve the business. You will bring advanced technology to our industry (development, construction, and acquisition), which historically has been slow to adapt. Individuals who thrive at ACG exhibit the following success skills - Collaboration, Critical Thinking, Innovator, Leadership, Energetic, Emotional Intelligence and Intellectual Curiosity, and Results Focus. QUALIFICATIONS: 5-7+ years of experience in a data analysis environment. Strong SQL skills. Must have the ability to write complex, highly-optimized queries across large volumes of data Relational database management skills Solid Python programming skills to create pipelines to cleanse and manipulate data Strong ability with Tableau and Excel Working knowledge of CRM systems Excellent oral and written communication skills, and comfort presenting Curiosity and passion about data, visualization and solving problems Creativity to determine the best solution for a real-world problems Willingness to question the validity, accuracy of data and assumptions Drive and self-reliance, Eagerness to learn, Enjoyment of collaboration Bachelors Degree Ability to be an independent worker with a team player attitude. All candidates must be able to speak, write, and understand English to qualify for this position. RESPONSIBILITIES: (Included but not limited to) Designing and maintaining data models in support of business objectives Create dashboards, reports, visualizations and algorithms to solve interesting business problems and questions. Creating ETL pipelines using SQL, SSIS and Python Understanding your business stakeholders' objectives, the metrics that are the most important to them, and how they measure their performance. Use predictive modeling, regression analysis and other statistical analysis tools to evaluate data and form conclusions/projections Finding and understanding the correct data sources for a given requirement Investigate a hypothesis, reach data driven conclusions and make recommendations Create dashboards and visualizations using Tableau or other Performs other duties as assigned All candidates must be able to speak, write, and understand English to qualify for this position. LOCATION: Bellevue, Washington - 100% on-site position JOB TYPE: Full-Time/Exempt CORE BUSINESS HOURS:: Monday - Friday 7:00am - 4:00pm (Additional hours and weekend days may be needed to work based on the business needs of the company) SALARY: $150,000/year (DOE) PRE- EMPLOYMENT SCREENING: Candidates selected for hire must be able to pass a pre-employment/post-hire drug screen, and background checks along with taking a personality assessment. AMERICAN CAPITAL GROUP IS AN EQUAL OPPORTUNITY EMPLOYER/ AFFIRMATIVE ACTION EMPLOYER All qualified candidates will receive consideration for employment without regard to race, color, creed, religion, disability, sex, age, ethnic or national origin, marital status, sexual orientation, gender identity or presentation, pregnancy genetics, veteran status, or any other status protected by state or federal law. EOE/Minorities/Females/Vet/Disability Please find out more about us on our website: www.acg.com","Not Provided","Bellevue","WA","American Capital Group","c(""Real Estate"", NA, NA)","Real Estate",4.3,1,0,0
"9","Data Scientist","Job Description Responsible for overseeing the collection, storage and interpretation of data for businesses. Their duties include sifting through data points to create organized categories, comparing data points to current company processes and writing reports outlining business predictions or proposals. Duties and Responsibilities Collecting data through means such as analyzing business results or by setting up and managing new studies Transferring data into a new format to make it more appropriate for analysis Creating new, experimental frameworks to collect data Building tools to automate data collection Searching through large data sets for usable information Creating reports and presentations for business uses Correlating similar data to find actionable results Build predictive machine learning models to meet business requirements of direct and digital marketers independently Conduct ad hoc analyses to identify changes, counts and trends in marketing data Produce analyses to compare, validate and improve modeling solutions Knowledge of DataRobot is not a requirement but a plus. Must be able to travel occasionally Required Skills: Ideal candidate should have a degree in a quantitative field [website] mathematics, computer science, statistics). 2+ years of professionally being a Data Scientist Basic Knowledge on software development principles and architecture. Good skill set in Data Visualization Good analytical and problem-solving abilities. Ability to break down and understand complex business problems, define a solution and implement it using advanced quantitative methods. Familiarity with programming for data analysis; ideally Python, SQL, or R. Solid oral and written communication skills, especially around analytical concepts and methods. Great work ethic and intellectual curiosity. Knowledge of any relational database such as Microsoft SQL Server. Must be a team player with problem-solving skills and have experience working with customers across business levels.","$64,429 - $106,582","O'Fallon","MO","CarShield","Consumer Product Rental","Consumer Services",4.1,0,0,0
"10","Research Data Scientist","IAI is looking for a talented research data scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.JOB DUTIES Design and develop scalable machine learning and network analytic algorithms Evaluate performance of a variety of machine learning and network analytic algorithms Debug and solve problems in complex environments Explore use of novel methods for compression, dimensionality reduction and summarization Communicate findings effectively in the form of briefings and technical reports Formulate research ideas/hypotheses to solve new problemsDESIRED SKILLS Algorithm development experience in Python, C/C++ and/or Java Development of machine learning and/or graph-based algorithms (e.g., scikit-learn, networkx, mlpack, weka) Familiar with high performance and big data computing technology (e.g., MPI, OpenMP, OpenACC, CUDA, opencl, mapreduce, hadoop, spark, BSP) Exposure to graph traversal languages and graph databases (e.g., Apache Tinkerpop, neo4j, JanusGraph) Familiar with word embedding methods (e.g., word2vec, GloVe, doc2vec) Comfortable working on linux systemsEDUCATION A Masters degree or Ph.D. in Computer Science, Engineering, Mathematics, Physics or related field is required.About IAI IAI is a technology innovation company specializing in providing advanced technology solutions and R&D services to federal agencies and corporations. IAI leverages agile R&D processes, a multi-disciplinary collaborative environment, and its substantial intellectual property portfolio to excel in developing concepts into market-focused products and customer-driven solutions. IAI's core R&D areas include: AI & Advanced Computing; Autonomy & Robotics; Healthcare Research Technologies; Modeling, Simulation & Visualization; and Networks & Cyber Security; and Radar, Communications & Sensors. For more information about IAI please visit www.i-a-i.com .US Citizenship or Permanent Residency requiredAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.To view the Office of Federal Contract Compliance Programs (OFCCP) voluntary self-identification of a disability form, click here.Requisition ID: 21- AICS 1359","$74,862 - $144,706","Rockville","MD","Intelligent Automation","Health, Beauty, & Fitness","Consumer Services",3.9,1,1,1
