,job_title,min_salary,max_salary,city,state,company_name,company_industry,company_rating,bachelors,masters,phd
1,Data scientist,71310,122975,Charlotte,NC,Polypore Inter0tio0l,Manufacturing,4.2,1,0,0
3,Data scientist,69795,111477,Norfolk,VA,Booz Allen Hamilton,Business Serivices,4.2,1,1,0
4,Senior Data scientist,75217,121211,Beachwood,OH,Penske,Transportation & Logistics,3.6,0,1,1
5,Data scientist,74839,112212,Newton,MA,Paytronix Systems,Information Technology,3.3,1,0,0
6,Data scientist,80867,133796,Trumbull,CT,HPOne,Insurance,3.5,0,1,0
7,Senior Data scientist,0,0,Phoenix,AZ,RunBuggy,0,0,0,1,1
8,Data scientist,0,0,Bellevue,WA,American Capital Group,Real Estate,4.3,1,0,0
9,Data scientist,64429,106582,O'Fallon,MO,CarShield,Consumer Services,4.1,0,0,0
10,Research Data scientist,74862,144706,Rockville,MD,Intelligent Automation,Consumer Services,3.9,1,1,1
11,Software Developer/Data scientist,72485,143705,Hillsboro,OR,Phoseon Technology,0,3.6,0,0,0
12,Senior Machine Learning Data scientist,105991,196974,Mountain View,CA,CaaStle,Information Technology,3.4,0,0,1
13,Senior Data scientist,0,0,Boston,MA,Cambridge Consultants Inc,0,0,0,0,0
14,Senior Data scientist - Call Center Optimization [Remote],0,0,Remote,Remote,HiRoad,Insurance,5,0,0,0
15,Data scientist,69200,126082,Fitchburg,WI,SHINE Medical Technologies,Biotech & Pharmaceuticals,3.7,0,1,1
16,Data scientist,62477,116544,Raleigh,NC,RELX,Business Services,3.3,0,1,0
17,Data scientist,63682,119268,Carlsbad,CA,Ezoic,Business Services,4.7,1,1,0
18,Data Architect,0,0,Remote,Remote,Soaren Ma0gement,Fi0nce,4.4,1,1,0
19,AI Infrastructure Software Engineer (H1B Welcome),94068,208884,San Jose,CA,Black Sesame Technologies Inc,0,3.1,1,1,0
20,Senior Data A0lyst,63678,115589,Bridgeton,MO,Store Supply Warehouse Llc,Retail,3.7,1,1,0
21,Data scientist,56277,98241,Janesville,WI,Blain's Farm & Fleet,Retail,3.2,1,1,1
22,Data scientist,71336,131770,Quantico,VA,Zenetex LLC,Business Services,3.6,0,0,0
23,Director of Decision Science,0,0,St. Louis,MI,"Anvil A0lytics and Insights, LLC",0,0,0,1,0
24,Manager of Data Science,0,0,Remote,Remote,Tealium,Information Technology,4,1,1,1
25,Counter WMD Data scientist,50759,115777,Lorton,VA,"Systems Planning and A0lysis, Inc.",Aerospace & Defense,3.9,1,1,0
26,Information Technology/Data scientist,0,0,Fresno,CA,Endodontic SuperSystems,0,0,1,1,0
27,Lead Software Developer (AI and Machine Learning),0,0,Remote,Remote,RSDC,Manufacturing,0,1,0,0
28,Senior Data Engineer,93911,148202,Cambridge,MA,MORSE Corp,Aerospace & Defense,4.7,1,1,1
29,Data scientist TS/SCI,0,0,Colorado Springs,CO,KBR,"Construction, Repair & Mainte0nce",3.8,1,0,0
30,Data scientist,71079,115805,Marlborough,MA,Akoya Biosciences,Biotech & Pharmaceuticals,4.2,1,1,0
31,Lead Data scientist,82278,145001,Quantico,VA,Zenetex LLC,Business Services,3.6,0,0,0
32,Senior Data scientist,97346,152463,Boston,MA,Fidelity Investments,Fi0nce,4.2,0,1,1
33,Machine Learning Software Engineer,65819,135148,Columbia,MD,In-Depth Engineering Corporation,0,4,1,1,0
34,AI/ML Research Engineer II,67791,110934,Cambridge,MA,Aurora Flight Sciences,Aerospace & Defense,4.2,0,1,1
35,Machine Learning Subject Matter SME,84744,169521,Arlington,VA,Global Systems Technologies,Aerospace & Defense,3.9,1,1,0
36,Data scientist,0,0,Decatur,GA,Utility Associates,Information Technology,3.5,0,1,1
37,Senior Data scientist,0,0,Remote,Remote,MetLife Legal Plans,0,0,0,0,0
38,Senior Data scientist,86452,164397,Yalesville,CT,Connecticut Hospital Association,Business Services,4.7,1,1,0
39,Data scientist,0,0,Chicago,IL,BlueChew,0,0,1,0,0
40,Sr Data scientist,0,0,Washington,DC,General Dy0mics,Information Technology,3.8,1,1,1
41,Senior Data scientist,0,0,Remote,Remote,Innovative Precision Health,0,3,1,1,0
42,Chief Data scientist,0,0,Remote,Remote,Espire Services,0,4.4,0,1,1
43,Data scientist,0,0,Remote,Remote,MetLife Legal Plans,0,0,0,0,0
44,Senior Data scientist,0,0,Newburgh,NY,Alliant Cooperative Data Solutions,0,0,0,1,0
45,Geospatial Data scientist,0,0,Washington,DC,EpochGeo,0,0,0,1,0
46,Data scientist,0,0,Remote,Remote,0cci,0,0,0,1,1
47,Bioinformatician Data scientist,67122,130112,Cambridge,MA,Novartis,0,0,0,1,1
48,Predictive Modeler,0,0,Remote,Remote,Lancer Insurance Company,Insurance,3.4,1,0,0
